trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
463,False,"{'a': 0.4, 'e': 0.1569230062457882}",20,2,12.499767143645023,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
464,False,"{'a': 0.4, 'e': 0.15629656793268212}",20,0,28.64342315675247,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
465,False,"{'a': 0.4, 'e': 0.1556726303679973}",30,20,6.462466817955881,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
466,False,"{'a': 0.4, 'e': 0.15505118356871936}",30,13,10.822982060462472,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
467,False,"{'a': 0.4, 'e': 0.1544322175916863}",20,10,-42.15603415448952,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
468,False,"{'a': 0.4, 'e': 0.15381572253342926}",20,2,-9.691780357618253,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
469,False,"{'a': 0.4, 'e': 0.15320168853001417}",20,9,21.594954418465758,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.4, 'e': 0.15259010575688386}",25,16,10.927446292905703,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
471,False,"{'a': 0.4, 'e': 0.1519809644287009}",20,9,-3.8427216213004547,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
472,False,"{'a': 0.4, 'e': 0.15137425479919106}",30,4,32.59008433160763,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
473,False,"{'a': 0.4, 'e': 0.15076996716098737}",25,16,17.05483979977658,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,False,"{'a': 0.4, 'e': 0.15016809184547464}",25,5,33.169828308538264,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
475,False,"{'a': 0.4, 'e': 0.14956861922263504}",25,11,-27.249609977526593,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
476,False,"{'a': 0.4, 'e': 0.14897153970089377}",20,11,13.359487048895764,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
477,False,"{'a': 0.4, 'e': 0.14837684372696583}",25,7,30.705362669816257,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,False,"{'a': 0.4, 'e': 0.14778452178570287}",20,8,23.066689869134333,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,False,"{'a': 0.4, 'e': 0.14719456439994122}",25,13,23.85706485151288,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,False,"{'a': 0.4, 'e': 0.14660696213035015}",20,13,13.163294476566758,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
481,False,"{'a': 0.4, 'e': 0.14602170557528074}",30,12,-54.89548353301996,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
482,False,"{'a': 0.4, 'e': 0.1454387853706157}",20,12,14.98599659934233,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.4, 'e': 0.14485819218961926}",30,9,2.2614523999941714,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
484,False,"{'a': 0.4, 'e': 0.14427991674278817}",20,10,-25.937280423817928,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
485,False,"{'a': 0.4, 'e': 0.14370394977770293}",20,9,13.503807570330403,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
486,False,"{'a': 0.4, 'e': 0.14313028207887982}",20,12,8.887065486022907,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,False,"{'a': 0.4, 'e': 0.14255890446762343}",25,19,13.894820084043781,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
488,False,"{'a': 0.4, 'e': 0.14198980780187978}",20,11,17.55871115955528,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
489,False,"{'a': 0.4, 'e': 0.14142298297609007}",20,7,21.795256132402702,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
490,False,"{'a': 0.4, 'e': 0.140858420921045}",20,0,12.24487569794173,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
491,False,"{'a': 0.4, 'e': 0.14029611260373967}",35,16,29.88820629843117,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
492,False,"{'a': 0.4, 'e': 0.13973604902722894}",35,20,7.085819996242609,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
493,False,"{'a': 0.4, 'e': 0.1391782212304837}",25,7,21.677822057399275,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
494,False,"{'a': 0.4, 'e': 0.13862262028824732}",35,20,17.706540631865483,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
495,False,"{'a': 0.4, 'e': 0.13806923731089282}",35,21,12.855955164569338,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
496,False,"{'a': 0.4, 'e': 0.13751806344428075}",35,24,8.438598605019521,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
497,False,"{'a': 0.4, 'e': 0.13696908986961753}",25,13,-72.83252389849002,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
498,False,"{'a': 0.4, 'e': 0.13642230780331424}",20,10,-20.884002529990386,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
499,False,"{'a': 0.4, 'e': 0.13587770849684613}",20,0,3.8902520904896836,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
500,False,"{'a': 0.4, 'e': 0.1353352832366127}",20,9,17.644199582308932,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
501,False,"{'a': 0.4, 'e': 0.1347950233437982}",30,16,15.971221509802337,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
502,False,"{'a': 0.4, 'e': 0.13425692017423285}",25,5,14.424264292132905,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
503,False,"{'a': 0.4, 'e': 0.13372096511825443}",20,10,17.688135327861257,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
504,False,"{'a': 0.4, 'e': 0.1331871496005706}",20,12,16.349480783259015,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
505,False,"{'a': 0.4, 'e': 0.13265546508012172}",25,4,30.84267627347272,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
506,False,"{'a': 0.4, 'e': 0.13212590304994412}",20,15,-1.2262082818293436,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
507,False,"{'a': 0.4, 'e': 0.131598455037034}",20,7,22.477133100824854,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
508,False,"{'a': 0.4, 'e': 0.13107311260221188}",30,21,18.73809452064608,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
509,False,"{'a': 0.4, 'e': 0.13054986733998764}",25,0,29.747914691695147,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
510,False,"{'a': 0.4, 'e': 0.1300287108784259}",35,15,36.47518499384023,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
511,False,"{'a': 0.4, 'e': 0.12950963487901218}",20,7,-11.82793100900252,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
512,False,"{'a': 0.4, 'e': 0.1289926310365194}",30,11,-41.8695824579823,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
513,False,"{'a': 0.4, 'e': 0.12847769107887502}",20,14,12.645568194853409,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
514,False,"{'a': 0.4, 'e': 0.1279648067670288}",30,16,-13.789244042761416,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
515,False,"{'a': 0.4, 'e': 0.12745396989482075}",30,13,-17.753973857195096,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
516,False,"{'a': 0.4, 'e': 0.12694517228885002}",20,0,-21.375966889142564,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
517,False,"{'a': 0.4, 'e': 0.1264384058083441}",20,0,-7.800113991351742,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
518,False,"{'a': 0.4, 'e': 0.12593366234502845}",20,12,16.47387530585147,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
519,False,"{'a': 0.4, 'e': 0.12543093382299692}",25,14,7.839463487394675,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
520,False,"{'a': 0.4, 'e': 0.12493021219858241}",20,6,23.932195486806776,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
521,False,"{'a': 0.4, 'e': 0.12443148946022826}",30,17,15.533801541286973,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
522,False,"{'a': 0.4, 'e': 0.12393475762836002}",30,7,21.143161725552577,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
523,False,"{'a': 0.4, 'e': 0.12344000875525778}",25,3,37.28476559789092,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
524,False,"{'a': 0.4, 'e': 0.122947234924929}",25,8,15.674979387809884,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
525,False,"{'a': 0.4, 'e': 0.12245642825298189}",25,11,27.925651513703347,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
526,False,"{'a': 0.4, 'e': 0.12196758088649925}",30,11,32.33214315831038,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
527,False,"{'a': 0.4, 'e': 0.12148068500391276}",20,15,-1.1871512036280627,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
528,False,"{'a': 0.4, 'e': 0.12099573281487792}",25,1,18.70048011842161,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
